Tango,,In English,,,,
相変わらず,,,,,,
相次いで,,,,,,
〜相手,,,,,,
アイデア,,,,,,
あいにく,,,,,,
あいまい,,,,,,
遭う,,,,,,
〜合う,,,,,,
青白い,,,,,,
赤字,,,,,,
あがる,,,,,,
〜上がる,,,,,,
飽きっぽい,,,,,,
あきらめる,,,,,,
飽きる,,,,,,
あきれる,,,,,,
悪〜,,,,,,
握手,,,,,,
あくび,,,,,,
あくまで,,,,,,
〜明け,,,,,,
明け方,,,,,,
明ける,,,,,,
揚げる,,,,,,
〜上げる,,,,,,
あこがれる,,,,,,
味付け,,,,,,
味わう,,,,,,
足を延ばす,,,,,,
足を運ぶ,,,,,,
足を引っ張る,,,,,,
預けるあせ,,,,,,
汗,,,,,,
遊び回る,,,,,,
与える,,,,,,
あたかも,,,,,,
温かみ,,,,,,
温まる,,,,,,
暖まる,,,,,,
温め直す,,,,,,
温める,,,,,,
暖める,,,,,,
頭が上がらない,,,,,,
頭が痛い,,,,,,
頭が固い,,,,,,
頭に来る,,,,,,
頭を下げる,,,,,,
頭を冷やす,,,,,,
〜扱い,,,,,,
厚かましい,,,,,,
集まり,,,,,,
厚み,,,,,,
あて〜,,,,,,
あてはまる,,,,,,
あてはめる,,,,,,
跡,,,,,,
アドレス帳,,,,,,
暴れる,,,,,,
甘み,,,,,,
編み上がる,,,,,,
編み物,,,,,,
編む,,,,,,
危うい,,,,,,
怪しむ,,,,,,
荒い,,,,,,
粗い,,,,,,
あらかじめ,,,,,,
あらし,,,,,,
粗筋,,,,,,
改めて,,,,,,
改める,,,,,,
あらゆる,,,,,,
ありがたい,,,,,,
ありがたさ,,,,,,
歩き出す,,,,,,
歩き回る,,,,,,
あれこれ,,,,,,
荒れる,,,,,,
慌ただしい,,,,,,
慌てる,,,,,,
哀れ,,,,,,
案,,,,,,
〜案,,,,,,
安易,,,,,,
案外,,,,,,
暗記,,,,,,
安全性,,,,,,
案の定,,,,,,
異〜,,,,,,
言い合う,,,,,,
言い出す,,,,,,
言いつける,,,,,,
言い張る,,,,,,
意外,,,,,,
生かす,,,,,,
生き生き,,,,,,
息が合う,,,,,,
息が切れる,,,,,,
息が長い,,,,,,
いきなり,,suddenly,,,,
意義深い,,,,,,
異業種,,,,,,
幾分,,,,,,
いくら,,,,,,
いくらか,,,,,,
意識,,,,,,
いずれ,,,,,,
依然,,,,,,
以前,,,,,,
偉大,,,,,,
抱く,,,,,,
痛み,,,,,,
痛み出す,,,,,,
痛む,,,,,,
位置,,,,,,
一応,,,,,,
一時,,,,,,
一時間目,,,,,,
一段と,,,,,,
一日おき,,,,,,
一面,,,,,,
一流〜,,,,,,
一流企業,,,,,,
一流校,,,,,,
一家,,,,,,
一切,,,,,,
一瞬,,,,,,
一斉に,,,,,,
一層,,,,,,
一体,,,,,,
いったん,,,,,,
一致,,,,,,
一定,,,,,,
いつでも,,,,,,
いつの間に,,,,,,
いつまでも,,,,,,
移転,,,,,,
遺伝,,,,,,
遺伝子,,,,,,
遺伝子組み換え,,,,,,
稲,,,,,,
祈る,,,,,,
威張る,,,,,,
違反,,,,,,
〜違反,,,,,,
衣服,,,,,,
今更,,,,,,
未だに,,,,,,
今に,,,,,,
今にも,,,,,,
今や,,,,,,
異民族,,,,,,
嫌がる,,,,,,
いよいよ,,,,,,
依頼,,,,,,
以来,,,,,,
いらいら,,,,,,
医療用,,,,,,
いる,,roast,,,,
色違い,,,,,,
色遣い,,,,,,
〜員,,,,,,
印刷機能,,,,,,
印象的,,,,,,
インストール,,,,,,
引退,,,,,,
インタビュー,,,,,,
インフルエンザ,,,,,,
引用,,,,,,
ウイルス,,,,,,
ウイルス対策,,,,,,
ウェブサイト,,,,,,
植える,,,,,,
受け〜,,,,,,
受け入れる,,,,,,
受け継ぐ,,,,,,
受け取る,,,,,,
受け持つ,,,,,,
失う,,,,,,
薄暗い,,,,,,
薄まる,,,,,,
薄める,,,,,,
歌い出す,,,,,,
疑う,,,,,,
打ち〜,,,,,,
打ち合わせ,,,,,,
打ち合わせる,,,,,,
内気,,,,,,
打ち消す,,,,,,
宇宙飛行士,,,,,,
うっかり,,Carelessly,,,,
訴えかける,,,,,,
訴える,,,,,,
腕が上がる,,,,,,
腕がいい,,,,,,
腕を上げる,,,,,,
奪う,,,,,,
うまみ,,,,,,
生まれる,,,,,,
生み出す,,,,,,
埋める,,,,,,
敬う,,,,,,
裏,,,,,,
裏返す,,,,,,
裏切る,,,,,,
恨む,,,,,,
うらやましい,,envious,,,,
うらやむ,,,,,,
うんと,,really/very,,,,
永遠,,,,,,
影響,,,,,,
英国式,,,,,,
衛生的,,,,,,
映像,,,,,,
英文学科,,,,,,
英雄,,,,,,
栄養,,,,,,
えさ,,,,,,
エチケット,,,,,,
エネルギー資源,,,,,,
獲物,,,,,,
円,,,,,,
〜園,,,,,,
宴会,,,,,,
演技,,,,,,
演劇,,,,,,
園児,,,,,,
演習,,,,,,
援助,,,,,,
援助活動,,,,,,
演説,,,,,,
演奏,,,,,,
追い〜,,,,,,
追いかける,,,,,,
追い越す,,,,,,
追い出す,,,,,,
追い付く,,,,,,
負う,,,,,,
応援,,,,,,
欧州連合,,,,,,
横断,,,,,,
往復,,,,,,
大〜,,,,,,
大雨洪水警報,,,,,,
大いに,,,,,,
大げさ,,,,,,
大手自動車メーカー,,major car manufacture,,,,
大通り,,,,,,
オーバー,,,,,,
大幅,,,,,,
大まか,,,,,,
丘,,,,,,
お母様,,,,,,
犯す,,,,,,
沖,,,,,,
〜おき,,every 〜,,,,
補う,,make up for,,,,
奥様,,,,,,
怒り出す,,,,,,
押さえる,,hold down/ restrain,,,,
抑える,,keep under control/ suppress,,,,
納める,,,,,,
お辞儀,,,,,,
惜しむ,,,,,,
お嬢ちゃん,,,,,,
雄,,Male (animal),,,,
汚染,,pollution,,,,
襲う,,,,,,
恐らく,,,,,,
恐れる,,,,,,
恐ろしい,,,,,,
お互いに,,,,,,
穏やか,,,,,,
落ち込む,,,,,,
おっとり,,,,,,
お父様,,,,,,
おどおど,,,,,,
驚く,,,,,,
同い年,,,,,,
各々,,,,,,
オフィス街,,,,,,
(お)坊ちゃん,,,,,,
お盆,,tray,,,,
主,,,,,,
思いがけない,,,,,,
思い切って,,,,,,
思い切り,,,,,,
思い込む,,,,,,
思いっ切り,,,,,,
思いつく,,,,,,
思いのほか,,,,,,
面白み,,,,,,
主に,,,,,,
重み,,,,,,
思わず,,,,,,
親孝行,,,,,,
およそ,,about,,,,
及ぶ,,,,,,
及ぼす,,,,,,
お詫び,,,,,,
恩,,obligation/ debt of gratitude,,,,
音声,,,,,,
温泉街,,,,,,
温暖,,,,,,
温暖化,,,,,,
おんぶ,,,,,,
オンライン〜,,,,,,
オンラインショッピング,,,,,,
オンラインショップ,,,,,,
〜化,,,,,,
〜家,,,,,,
〜界,,,,,,
〜街,,,,,,
会員証,,,,,,
開花,,,,,,
改革,,,,,,
海岸沿い,,,,,,
会計士,,,,,,
解決,,,,,,
解決済み,,,,,,
外交官,,,,,,
外交政策,,,,,,
回収,,,,,,
解消,,,,,,
外相,,,,,,
海水浴場,,,,,,
回数券,,,,,,
快晴,,,,,,
改正,,,,,,
改正案,,,,,,
解説,,,,,,
改善,,,,,,
改造,,,,,,
会談,,,,,,
改築,,rebuilding,,,,
改訂版,,,,,,
開発,,,,,,
回復,,,,,,
外務省,,,,,,
外務大臣,,,,,,
改良,,,,,,
帰す,,,,,,
かえって,,,,,,
顔が広い,,know a lot of people,,,,
顔つき,,,,,,
香り,,fragrance,,,,
顔を貸す,,join/ come along,,,,
顔を出す,,,,,,
価格,,,,,,
化学,,,,,,
科学,,,,,,
科学者,,,,,,
科学的,,,,,,
かかる,,,,,,
書き上がる,,,,,,
書き直す,,,,,,
かく,,to (sweat/ snore/ etc.),,,,
各〜,,,,,,
かぐ,,smell,,,,
家具,,,,,,
〜学,,,,,,
隠す,,,,,,
学生証,,,,,,
拡大,,,,,,
各分野,,,,,,
確保,,,,,,
各方面,,,,,,
革命,,,,,,
学力,,,,,,
影,,,,,,
陰,,behind,,,,
がけ崩れ,,,,,,
駆け込む,,,,,,
掛け算,,,,,,
かける,,,,,,
掛ける,,,,,,
〜かける,,,,,,
過去,,,,,,
家事,,,,,,
貸し出す,,,,,,
果実,,,,,,
かじる,,take a bite out of,,,,
風邪気味,,,,,,
稼ぐ,,,,,,
河川,,,,,,
家族連れ,,,,,,
型,,,,,,
片〜,,,,,,
課題,,,,,,
形,,,,,,
片ひざ,,one knee,,,,
固まる,,,,,,
片道,,,,,,
傾く,,,,,,
固める,,,,,,
肩を落とす,,,,,,
肩を貸す,,,,,,
〜学科,,,,,,
学会,,,,,,
がっかり,,be disappointed,,,,
活気,,,,,,
担ぐ,,,,,,
勝手,,,,,,
かつて,,,,,,
〜活動,,,,,,
活発,,lively,,,,
活躍,,,,,,
活用法,,,,,,
悲しみ,,,,,,
悲しむ,,,,,,
必ずしも,,,,,,
加熱,,,,,,
金遣い,,,,,,
かび,,mold,,,,
株,,stock,,,,
株式,,,,,,
花粉,,,,,,
構う,,,,,,
神,,,,,,
かみそり,,razor,,,,
科目,,,,,,
かゆみ,,itch,,,,
柄,,,,,,
体つき,,,,,,
辛み,,,,,,
刈る,,,,,,
乾かす,,,,,,
川沿い,,river side,,,,
勘,,intuition,,,,
缶,,,,,,
〜官,,,,,,
〜感,,,,,,
考え直す,,,,,,
間隔,,,,,,
観客,,,,,,
環境破壊,,,,,,
環境保護,,,,,,
