読む	よむ	читать
聞く	きく	слушать; спрашивать
買う	かう	покупать
行く	いく	ходить, ездить
明日	あした	завтра
毎日	まいにち	каждый день
新しい	あたらしい	новый
面白い	おもしろい	интересный, забавный
書く	かく	писать
勉強	べんきょう	занятия, учеба
昨日	きのう	вчера
古い	ふるい	старый
見る	みる	смотреть, видеть
手紙	とがみ	письмо
今日	きょう	сегодня
見せる	みせる	показывать
然して	そして	и, еще; затем
百	ひゃく	сто
幾つ	いくつ	сколько?
人口	じんこう	население
万	まん	десять тысяч
食べる	たべる	есть
林檎	りんご	яблоко
左様なら	さようなら	до свидания
円	えん	иена
全部	ぜんぶ	весь, целиком
位	ぐらい	приблизительно
一番	いちばん	самый
千	せん	тысяча
始める	はじめる	начинать,давать старт
今朝	けさ	это утро
寝る	ねる	ложиться спать
出る	でる	покидать
午前	ごぜん	am (до полудня)
朝	あさ	утро
午後	ごご	pm (после полудня)
間	あいだ	пространство,промежуток
今	いま	сейчас
休み	やすみ	праздник, отдых
半	はん	половина
終わり	おわり	конец
夜	よる	ночь
前	まえ	до, перед
起きる	おきる	вставать, подниматься
時々	ときどき	иногда
食事	しょくじ	еда
大好き	だいすき	сымый любимый
軽い	かるい	светлый,легкий
出す	だす	посылать
分	ふん	минута
冬	ふゆ	зима
秋	あき	осень
好き	すき	нравящийся, любимый
夏	なつ	лето
春	はる	весна
時間	じかん	время
嫌い	きらい	нелюбимый, ненавистный
少ない	すくない	быть в малом количестве
多い	おおい	быть в большом количестве
出来る	できる	уметь, владеть, быть готовым
鯉幟	こいのぼり	карп из бумаги на шесте
お菓子	おかし	японские сладости
来る	きる	приходить, приезжать
建てる	たてる	строить, устанавливать
天気	てんき	погода
飾る	かざる	украшать
花見	はなみ	любование цветами сакуры
祖母	そぼ	бабушка (своя)
祭り	まつり	праздник
七五三	しちごさん	праздник детей
楽しい	たのしい	приятный
雛人形	ひなにんぎょう	куклы для праздника девочек
失礼します	しつれいします	позвольте откланяться
雛祭り	ひなまつり	праздник девочек
伯母	おば	тётя (своя)
家内	かない	жена (своя)
祖父	そふ	дедушка (свой)
結婚	けっこん	брак, женитьба, замужество
弟さん	おとうとさん	младший брат
妹さん	いもうとさん	младшая сестра
友達	ともだち	друг, подруга
兄弟	きょうだい	братья и сестры
奥さん	おくさん	жена
お母さん	おかあさん	мать
兄	あに	брат (свой)
伯父	おじ	дядя (свой)
母	はは	мать (своя)
弟	おとうと	младший брат (свой)
お爺さん	おじいさん	дедушка
顔	かお	лицо
両親	りょうしん	родители
お姉さん	おねえさん	старшая сестра
頭	あたま	голова
口が軽い	くちがかるい	болтливый
妹	いもうと	младший сестра (своя)
家族	かぞく	семья
御主人	ごしゅじん	муж
お兄さん	おにいさん	старший брат
父	ちち	отец (свой)
姉	あね	сестра (своя)
口	くち	рот
写真	しゃしん	фотография
お父さん	おとうさん	отец
目	め	глаза, зрение
長い	ながい	длинный, долгий
才	さい	годы, лета, способности
見える	みえる	виднеться, выглядывать
手	て	рука
如何して	どうして	почему, отчего
優しい	やさしい	добрый, ласковый
御免ください	ごめんください	разрешите (войти, пройти)
先月	せんげつ	прошлый месяц
天	てん	небо
髪	かみ	волосы
足が速い	あしがはやう	быстрая походка
待つ	まつ	ждать
足	あし	нога
背	せ	рост
来月	らいげつ	следующий месяц
成る	なる	становиться, делать, наступать
涼しい	すずしい	прохладный
南	みなみ	юг
有る	ある	иметься, находиться
北	きた	север
島	しま	остров
寒い	さむい	холодный
東	ひがし	восток
暑い	あつい	жаркий
暖かい	あたたかい	теплый
紅葉	もみじ	осенняя листва
雪	ゆき	снег
西	にし	запад
違う	ちがう	ошибаться, отличаться
所	ところ	место, местность
外に	ほかに	кроме
椅子	いす	стул
外の	ほかの	другой
可也	かなり	довольно, значительно
年	とし	возраст
同じ	おなじ	быть одинаковым, такой же
気候	きこう	климат
道	みち	дорога, путь
側	そば	рядом, сбоку
来年	らいねん	будущий год
気	き	воздух, дух, чувства, настроение
外	そと	снаружи, на улице, вне дома
中	なか	внутри, внутренняя часть
下	した	низ, нижняя часть
上	うえ	верх, верхняя часть
仲	なか	отношения
後ろ	うしろ	сзади, позади
左	ひだり	слева, левая часть
棚	たな	полка
庭	にわ	сад, двор
一寸	ちょっと	немного, чуть-чуть
猫	ねこ	кошка
聞こえる	きこえる	слышать, быть слышным
犬	いぬ	собака
本棚	ほんだな	книжная полка, шкаф
右	みぎ	справа, правая часть
如何	いかが	как, каким образом
皆	みな	все
沢山	たくさん	много
猿	さる	обезьяна
十	ジュウ/とう	десять
頂きます	いただきます	съем (выпью)
三	サン/みつ	три
八	ハチ/やつ	восемь
五	ゴ/いつつ	пять
二	ニ/ふたつ	два
月曜日	げつようび	понедельник
九	キュウ/ここのつ	девять
御馳走様でした	ごちそうさまでした	спасибо за угощение
下さい	ください	дайте (что-либо)
四	シ/よつ	четыре
一	イチ/ひとつ	один
火曜日	かようび	вторник
七	シチ/ななつ	семь
六	ロク/むつ	шесть
お風呂	おふろ	ванна
会話	かいわ	разговор, диалог
金曜日	きんようび	пятница
授業	じゅぎょう	занятия, урок
木曜日	もくようび	четверг
学ぶ	まなぶ	изучать
お金	おかね	деньги
教える	おしえる	объяснять, преподавать
日曜日	にちようび	воскресенье
痛い	いたい	болеть, чувствовать боль
洗う	あらう	мыть, стирать
入る	はいる	входить, поступать куда-либо
水曜日	すいようび	среда
習う	ならう	учиться, заниматься
土曜日	どようび	суббота
遊ぶ	あそぶ	отдыхать, развлекаться
入れる	いれる	вкладывать, включать, впускать, наливать
練習	れんしゅう	упражнение, тренеровка, репетиция
体	からだ	организм, тело
掛かる	かかる	требоваться (время, деньги)
手伝う	てつだう	помогать
皿	さら	тарелка
お邪魔します	おじゃまします	позвольте побеспокоить
曲がる	まがる	сгибаться, делать поворот (дорога)
お帰りなさい	おかえりなさい	с возвращением
詞	ことば	слово, язык
車	くるま	автомобиль, машина
歩く	あるく	идти, ходить пешком
唯今	ただいま	вот и я
会う	あう	встречаться
通り	とおり	улица
止める	とめる	останавливать
降りる	おりる	выходить (из транспорта), спускаться
乗り換え	のりかえ	пересадка
乗り降り	のりおり	посадка и высадка
直ぐ	すぐ	сразу
真っ直ぐ	まっすぐ	прямо
渡る	わたる	переходить, переправляться
信号	しんごう	светофор, сигнал, знак
電車	でんしゃ	электричка
地下	ちか	под землей, подземный
角	かど	угол (внешний)
通る	とおる	проходить, проезжать
地下鉄	ちかてつ	метро
地下道	ちかどう	подземный переход
遊び	あそび	развлечение, досуг
どの位	どのくらい	сколько, как долго
久し振りですね	ひさしぶりですね	давно не виделись
買い物	かいもの	покупка
先に	さきに	впереди, прежде, раньше
大変	たいへん	ужасно
自分の	じぶんの	свой
駅前	えきまえ	у вокзала, привокзальный
店	みせ	магазин, лавка, ресторан
込む	こむ	быть переполненным
使う	つかう	использовать
時代	じだい	эпоха
社会	しゃかい	общество, мир, публика
降る	ふる	идти (дождь, снег)
止む	やむ	прекращаться
履く	はく	надевать (брюки, обувь, носки)
持つ	もつ	держать в руках, иметь
靴	くつ	обувь, туфли, ботинки
掛ける	かける	вешать, цеплять
分ける	わける	делить
着る	きる	надевать (платье, свитер, кимоно)
色	いろ	цвет
合う	あう	подходить, быть по фигуре
散歩	さんぽ	прогулка
洋服	ようふく	европейская одежда
茶色	ちゃいろ	коричневый цвет
座る	すわる	сидеть
飲む	のむ	пить, курить, есть (яп.суп)
眼鏡	めがね	очки
太る	ふとる	толстеть, быть толстым
下手な	へたな	неумелый, неискусный
形	かたち	форма, вид
難しい	むずかしい	трудный
教室	きょうしつ	аудитория
覚える	おぼえる	запоминать, помнить
復習する	ふくしゅうする	повторять
元気	げんき	бодрость, хорошее настроение
自分	じぶん	сам
晩	ばん	вечер
楽な	らくな	удобный, приятный, комфортный
半年	はんとし	полгода
上手な	じょうずな	умелый, искусный
間違える	まちがえる	ошибаться, перепутать
お腹	おなか	живот
予習する	よしゅうする	готовить уроки
教科書	きょうかしょ	учебник
色々	いろいろ	многое, разное
質問	しつもん	вопрос
持って来る	もってくる	приносить, привозить
間違い	まちがい	ошибка
課	か	урок (учебника)
発音	はつおん	произношение
答える	こたえる	отвечать
直す	なおす	исправлять, чинить
宿題	しゅくだい	домашнее заданее
楽しみ	らくしみ	удовольствие, радость
中々	なかなか	очень, никак (отр.)
答え	こたえ	ответ
上る	のぼる	подниматься, взбираться
忘れる	わすれる	забывать
傘	かさ	зонт
雲	くも	туча, облако
作文	さくぶん	сочинение
晴れる	はれる	быть ясным, безоблачным
曇り	くもり	пасмурно, облачно
文学	ぶんがく	литература
空	そら	небо
晴れ	はれ	ясно, безоблачно
外人	がいじん	иностранец
是非	ぜひ	обязательно, непременно
持って行く	もっていく	уносить, брать с собой
風	かぜ	ветер
曇る	くもる	быть пасмурным, облачным
外国	がいこく	заграница
吹く	ふく	дуть, играть на духовом инстр.
怖い	こわい	страшный, бояться
予報	よほう	прогноз
悪い事をする	わるいことをする	плохо поступать
甘い	あまい	сладкий, недостаточно соленый
欲しい	ほしい	желанный, хотеть
野菜	やさい	овощи
果物	くだもの	фрукты
作る	つくる	готовить, изготовлять
音	おと	звук
上がる	あがる	подниматься
駄目な	だめな	непригодный, бесполезный
欲しいがる	ほしいがる	хотеть, желать
話	はなし	рассказ, разговор
お待たせしました	おまたせしました	извините, что заставил ждать
動く	うごく	двигаться, быть в движении
家	いえ	дом
名前	なまえ	имя, фамилия, название
